Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.8038379530916845,0.6475903614457831,0.5748663101604278,0.6090651558073654,0.8356727976766699
Random Forest,0.7867803837953091,0.6225165562913907,0.5026737967914439,0.5562130177514792,0.8172189407312691
XGBoost,0.7960199004975125,0.638095238095238,0.5374331550802139,0.5834542815674891,0.8392913532569589
Neural Network,0.738450604122246,0.5074257425742574,0.5481283422459893,0.5269922879177378,0.7625174068571369
